FID,Shape *,OBJECTID,Path,Name,DateTime,Direction,Ket,Kelas,X,Y,RASTERVALU
48,Point ZM,49,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903035508.jpg,20250903035508.jpg, ,-9999,Tidak Banjir,0,120.010161,-5.339256,-9999
49,Point ZM,50,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903035700.jpg,20250903035700.jpg, ,-9999,Tidak Banjir,0,120.008603,-5.337456,-9999
50,Point ZM,51,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903035716.jpg,20250903035716.jpg, ,-9999,Tidak Banjir,0,120.00855,-5.337375,-9999
51,Point ZM,52,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903035751.jpg,20250903035751.jpg, ,-9999,Tidak Banjir,0,120.008644,-5.337156,-9999
52,Point ZM,53,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903040434.jpg,20250903040434.jpg, ,-9999,Tidak Banjir,0,120.001314,-5.327294,-9999
53,Point ZM,54,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903040448.jpg,20250903040448.jpg, ,-9999,Tidak Banjir,0,120.001214,-5.327111,-9999
54,Point ZM,55,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903040626.jpg,20250903040626.jpg, ,-9999,Tidak Banjir,0,120.001167,-5.326631,-9999
55,Point ZM,56,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903040653.jpg,20250903040653.jpg, ,-9999,Tidak Banjir,0,120.001172,-5.326597,-9999
56,Point ZM,57,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903042139.jpg,20250903042139.jpg, ,-9999,Tidak Banjir,0,120.001419,-5.329189,-9999
57,Point ZM,58,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903042441.jpg,20250903042441.jpg, ,-9999,Tidak Banjir,0,120.001514,-5.329364,-9999
58,Point ZM,59,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903042510.jpg,20250903042510.jpg, ,-9999,Tidak Banjir,0,120.001528,-5.329356,-9999
